"","x"
"533","3"
"534","3"
"535","3"
"536","17"
"537","1"
"538","4"
"539","0"
"540","5"
"541","1"
"542","8"
"543","13"
"544","5"
"545","15"
"546","1"
"547","6"
"548","6"
"549","5"
"550","0"
"551","2"
"552","5"
"553","6"
"554","7"
"555","1"
"556","1"
"557","1"
"558","1"
"559","14"
"560","5"
"561","5"
"562","0"
"563","1"
"564","1"
"565","4"
"566","3"
"567","1"
"568","3"
"569","3"
"570","5"
"571","12"
"572","6"
"573","1"
"574","8"
"575","12"
"576","5"
"577","0"
"578","6"
"579","1"
"580","0"
"581","11"
"582","7"
"583","9"
"584","8"
"585","0"
"586","3"
"587","0"
"588","7"
"589","3"
"590","6"
"591","5"
"592","0"
"593","6"
"594","1"
"595","11"
"596","9"
"597","3"
"598","2"
"599","1"
"600","11"
"601","11"
"602","3"
"603","16"
"604","12"
"605","4"
"606","1"
"607","3"
"608","0"
"609","19"
"610","1"
"611","0"
"612","7"
"613","6"
"614","1"
"615","14"
"616","2"
"617","4"
"618","7"
"619","1"
"620","12"
"621","4"
"622","6"
"623","1"
"624","11"
"625","11"
"626","1"
"627","5"
"628","0"
"629","0"
"630","0"
"631","8"
"632","6"
"633","1"
"634","1"
"635","1"
"636","6"
"637","4"
"638","6"
"639","9"
"640","12"
"641","2"
"642","0"
"643","3"
"644","1"
"645","3"
"646","4"
"647","12"
"648","3"
"649","5"
"650","8"
"651","7"
"652","5"
"653","7"
"654","1"
"655","0"
"656","9"
"657","0"
"658","9"
"659","2"
"660","1"
"661","0"
"662","8"
"663","9"
"664","1"
"665","0"
"666","2"
"667","5"
"668","6"
"669","8"
"670","11"
"671","0"
"672","7"
"673","9"
"674","6"
"675","13"
"676","7"
"677","5"
"678","9"
"679","11"
"680","4"
"681","7"
"682","2"
"683","0"
"684","10"
"685","0"
"686","4"
"687","1"
"688","4"
"689","1"
"690","1"
"691","1"
"692","7"
"693","0"
"694","5"
"695","4"
"696","7"
"697","0"
"698","16"
"699","1"
"700","13"
"701","3"
"702","0"
"703","1"
"704","8"
"705","0"
"706","0"
"707","1"
"708","2"
"709","1"
"710","1"
"711","0"
"712","0"
"713","1"
"714","1"
"715","9"
"716","1"
"717","3"
"718","9"
"719","1"
"720","0"
"721","2"
"722","10"
"723","10"
"724","1"
"725","5"
"726","0"
"727","6"
"728","1"
"729","9"
"730","12"
"731","12"
"732","11"
"733","8"
"734","1"
"735","9"
"736","0"
"737","5"
"738","0"
"739","10"
"740","6"
"741","1"
"742","0"
"743","0"
"744","6"
"745","0"
"746","6"
"747","12"
"748","1"
"749","10"
"750","15"
"751","5"
"752","1"
"753","8"
"754","4"
"755","5"
"756","17"
"757","12"
"758","2"
"759","11"
"760","3"
"761","2"
"762","1"
"763","0"
"764","0"
"765","12"
"766","0"
"767","4"
"768","7"
"769","1"
"770","2"
"771","10"
"772","13"
"773","7"
"774","5"
"775","13"
"776","1"
"777","2"
"778","6"
"779","14"
"780","11"
"781","0"
"782","0"
"783","8"
"784","0"
"785","2"
"786","9"
"787","11"
"788","0"
"789","4"
"790","0"
"791","7"
"792","11"
"793","6"
"794","0"
"795","9"
"796","7"
"797","9"
"798","11"
"799","7"
"800","8"
"801","1"
"802","7"
"803","8"
"804","0"
"805","1"
"806","1"
"807","0"
"808","3"
"809","19"
"810","9"
"811","8"
"812","2"
"813","0"
"814","2"
"815","1"
"816","0"
"817","0"
"818","3"
"819","2"
"820","1"
"821","2"
"822","4"
"823","0"
"824","7"
"825","0"
"826","12"
"827","0"
"828","1"
"829","0"
"830","3"
"831","11"
"832","1"
"833","11"
"834","8"
"835","7"
"836","12"
"837","11"
"838","1"
"839","1"
"840","5"
"841","1"
"842","2"
"843","10"
"844","11"
"845","6"
"846","8"
"847","0"
"848","1"
"849","6"
"850","13"
"851","0"
"852","6"
"853","1"
"854","5"
"855","1"
"856","2"
"857","5"
"858","3"
"859","3"
"860","0"
"861","2"
"862","9"
"863","7"
"864","16"
"865","7"
"866","4"
"867","13"
"868","4"
"869","13"
"870","10"
"871","0"
"872","5"
"873","0"
"874","0"
"875","12"
"876","5"
"877","1"
"878","3"
"879","5"
"880","5"
"881","7"
"882","13"
"883","1"
"884","7"
"885","10"
"886","4"
"887","2"
"888","0"
"889","4"
"890","0"
"891","6"
"892","0"
"893","13"
"894","11"
"895","10"
"896","1"
"897","2"
"898","9"
"899","9"
"900","4"
"901","1"
"902","2"
"903","15"
"904","3"
"905","8"
"906","8"
"907","11"
"908","4"
"909","6"
"910","16"
"911","10"
"912","0"
"913","12"
"914","10"
"915","8"
"916","2"
"917","1"
"918","4"
"919","0"
"920","7"
"921","12"
"922","2"
"923","2"
"924","10"
"925","4"
"926","1"
"927","0"
"928","3"
"929","17"
"930","12"
"931","4"
"932","10"
"933","19"
"934","12"
"935","3"
"936","1"
"937","5"
"938","0"
"939","1"
"940","14"
"941","7"
"942","0"
"943","3"
"944","2"
"945","8"
"946","2"
"947","3"
"948","9"
"949","0"
"950","2"
"951","6"
"952","1"
"953","5"
"954","5"
"955","1"
"956","6"
"957","5"
"958","0"
"959","4"
"960","0"
"961","5"
"962","0"
"963","6"
"964","9"
"965","16"
"966","0"
"967","0"
"968","1"
"969","19"
"970","10"
"971","5"
"972","3"
"973","5"
"974","4"
"975","4"
"976","0"
"977","11"
"978","3"
"979","8"
"980","6"
"981","0"
"982","3"
"983","3"
"984","11"
"985","1"
"986","4"
"987","5"
"988","1"
"989","13"
"990","1"
"991","11"
"992","6"
"993","1"
"994","9"
"995","3"
"996","0"
"997","4"
"998","11"
"999","0"
"1000","8"
"1001","2"
"1002","0"
"1003","7"
"1004","3"
"1005","0"
"1006","1"
"1007","6"
"1008","5"
"1009","3"
"1010","2"
"1011","1"
"1012","3"
"1013","13"
"1014","1"
"1015","1"
"1016","6"
"1017","18"
"1018","5"
"1019","0"
"1020","9"
"1021","5"
"1022","8"
"1023","5"
"1024","11"
"1025","12"
"1026","0"
"1027","10"
"1028","3"
"1029","3"
"1030","3"
"1031","6"
"1032","1"
"1033","4"
"1034","10"
"1035","1"
"1036","9"
"1037","6"
"1038","2"
"1039","1"
"1040","6"
"1041","1"
"1042","1"
"1043","1"
"1044","1"
"1045","0"
"1046","11"
"1047","8"
"1048","4"
"1049","1"
"1050","1"
"1051","11"
"1052","1"
"1053","1"
"1054","0"
"1055","8"
"1056","0"
"1057","4"
"1058","2"
"1059","2"
"1060","5"
"1061","4"
"1062","0"
"1063","3"
"1064","8"
"1065","10"
"1066","1"
"1067","0"
"1068","0"
"1069","11"
"1070","7"
"1071","10"
"1072","1"
"1073","12"
"1074","0"
"1075","4"
"1076","13"
"1077","0"
"1078","6"
"1079","14"
"1080","3"
"1081","13"
"1082","4"
"1083","10"
"1084","2"
"1085","8"
"1086","12"
"1087","1"
"1088","9"
"1089","2"
"1090","10"
"1091","12"
"1092","9"
"1093","0"
"1094","15"
"1095","0"
"1096","9"
"1097","7"
"1098","5"
"1099","3"
"1100","2"
"1101","9"
"1102","1"
"1103","1"
"1104","12"
"1105","10"
"1106","1"
"1107","0"
"1108","4"
"1109","1"
"1110","8"
"1111","4"
"1112","12"
"1113","3"
"1114","9"
"1115","4"
"1116","6"
"1117","8"
"1118","3"
"1119","5"
"1120","1"
"1121","3"
"1122","11"
"1123","2"
"1124","0"
"1125","6"
"1126","6"
"1127","5"
"1128","0"
"1129","0"
"1130","15"
"1131","2"
"1132","6"
"1133","4"
"1134","1"
"1135","2"
"1136","6"
"1137","8"
"1138","7"
"1139","9"
"1140","15"
"1141","0"
"1142","12"
"1143","0"
"1144","1"
"1145","3"
"1146","1"
"1147","17"
"1148","16"
"1149","13"
"1150","7"
"1151","6"
"1152","14"
"1153","4"
"1154","2"
"1155","13"
"1156","8"
"1157","16"
"1158","17"
"1159","4"
"1160","10"
"1161","0"
"1162","9"
"1163","14"
"1164","1"
"1165","4"
"1166","3"
"1167","5"
"1168","1"
"1169","0"
"1170","10"
"1171","1"
"1172","4"
"1173","9"
"1174","2"
"1175","12"
"1176","1"
"1177","10"
"1178","3"
"1179","12"
"1180","11"
"1181","2"
"1182","2"
"1183","9"
"1184","4"
"1185","1"
"1186","7"
"1187","11"
"1188","12"
"1189","12"
"1190","5"
"1191","1"
"1192","18"
"1193","5"
"1194","10"
"1195","14"
"1196","0"
"1197","6"
"1198","1"
"1199","2"
"1200","0"
"1201","0"
"1202","13"
"1203","12"
"1204","0"
"1205","8"
"1206","7"
"1207","6"
"1208","0"
"1209","2"
"1210","5"
"1211","6"
"1212","5"
"1213","8"
"1214","2"
"1215","4"
"1216","0"
"1217","0"
"1218","0"
"1219","0"
"1220","1"
"1221","7"
"1222","1"
"1223","0"
"1224","1"
"1225","4"
"1226","5"
"1227","1"
"1228","8"
"1229","18"
"1230","11"
"1231","0"
"1232","0"
"1233","0"
"1234","0"
"1235","10"
"1236","0"
"1237","14"
"1238","3"
"1239","16"
"1240","0"
"1241","9"
"1242","8"
"1243","8"
"1244","2"
"1245","0"
"1246","0"
"1247","0"
"1248","1"
"1249","3"
"1250","3"
"1251","1"
"1252","1"
"1253","1"
"1254","8"
"1255","3"
"1256","5"
"1257","8"
"1258","0"
"1259","2"
"1260","5"
"1261","4"
"1262","2"
"1263","3"
"1264","2"
"1265","16"
"1266","2"
"1267","9"
"1268","4"
"1269","6"
"1270","2"
"1271","12"
"1272","6"
"1273","6"
"1274","10"
"1275","8"
"1276","7"
"1277","8"
"1278","1"
"1279","9"
"1280","7"
"1281","1"
"1282","7"
"1283","3"
"1284","1"
"1285","7"
"1286","1"
"1287","6"
"1288","7"
"1289","1"
"1290","11"
"1291","1"
"1292","1"
"1293","0"
"1294","4"
"1295","0"
"1296","1"
"1297","12"
"1298","0"
"1299","4"
"1300","11"
"1301","2"
"1302","10"
"1303","2"
"1304","9"
"1305","12"
"1306","2"
"1307","7"
"1308","3"
"1309","11"
"1310","0"
"1311","6"
"1312","4"
"1313","5"
"1314","4"
"1315","6"
"1316","0"
"1317","5"
"1318","14"
"1319","0"
"1320","7"
"1321","15"
"1322","0"
"1323","0"
"1324","4"
"1325","1"
"1326","1"
"1327","5"
"1328","19"
"1329","8"
"1330","7"
"1331","6"
"1332","8"
"1333","1"
"1334","4"
"1335","0"
"1336","2"
"1337","0"
"1338","0"
"1339","2"
"1340","1"
"1341","0"
"1342","3"
"1343","12"
"1344","1"
"1345","0"
"1346","9"
"1347","12"
"1348","6"
"1349","7"
"1350","1"
"1351","6"
"1352","4"
"1353","3"
"1354","5"
"1355","5"
"1356","0"
"1357","16"
"1358","0"
"1359","1"
"1360","7"
"1361","2"
"1362","8"
"1363","10"
"1364","0"
"1365","17"
"1366","4"
"1367","8"
"1368","3"
"1369","0"
"1370","7"
"1371","3"
"1372","9"
"1373","4"
"1374","2"
"1375","5"
"1376","4"
"1377","11"
"1378","8"
"1379","4"
"1380","5"
"1381","5"
"1382","12"
"1383","4"
"1384","0"
"1385","1"
"1386","11"
"1387","17"
"1388","12"
"1389","13"
"1390","9"
"1391","6"
"1392","1"
"1393","7"
"1394","0"
"1395","17"
"1396","5"
"1397","1"
"1398","8"
"1399","12"
"1400","6"
"1401","2"
"1402","15"
"1403","0"
"1404","5"
"1405","8"
"1406","2"
"1407","8"
"1408","0"
"1409","12"
"1410","8"
"1411","0"
"1412","0"
"1413","5"
"1414","8"
"1415","11"
"1416","5"
"1417","16"
"1418","0"
"1419","16"
"1420","12"
"1421","0"
"1422","2"
"1423","1"
"1424","8"
"1425","1"
"1426","8"
"1427","3"
"1428","16"
"1429","0"
"1430","11"
"1431","0"
"1432","1"
"1433","6"
"1434","3"
"1435","0"
"1436","7"
"1437","0"
"1438","0"
"1439","1"
"1440","10"
"1441","1"
"1442","5"
"1443","12"
"1444","11"
"1445","9"
"1446","1"
"1447","3"
"1448","1"
"1449","2"
"1450","9"
